NOM,F_G_X,type_de_son,numero,F0,Fmax,Fmax2
BENTI,G,AAAAA,1,152,618,608
BENTI,G,AAAAA,2,127,778,635
BENTI,G,AAAAA,3,146,147,584
BENTI,G,AAAAA,4,146,146,584
BENTI,G,AAAAA,5,127,759,127
BENTI,G,EEEEE,1,144,286,144
BENTI,G,EEEEE,2,144,287,432
BENTI,G,EEEEE,3,148,294,148
BENTI,G,EEEEE,4,146,292,146
BENTI,G,EEEEE,5,153,300,153
BENTI,G,IIIII,1,194,194,388
BENTI,G,IIIII,2,195,195,390
BENTI,G,IIIII,3,193,193,386
BENTI,G,IIIII,4,197,197,394
BENTI,G,IIIII,5,197,197,394
BENTI,G,OOOOO,1,148,292,148
BENTI,G,OOOOO,2,148,297,444
BENTI,G,OOOOO,3,151,303,450
BENTI,G,OOOOO,4,151,301,151
BENTI,G,OOOOO,5,153,306,153
BENTI,G,UUUUU,1,163,163,326
BENTI,G,UUUUU,2,168,168,336
BENTI,G,UUUUU,3,169,169,338
BENTI,G,UUUUU,4,167,167,334
BENTI,G,UUUUU,5,171,171,342
BENTI,G,FFFFF,1,0,178,0
BENTI,G,FFFFF,2,0,1454,0
BENTI,G,FFFFF,3,0,2075,0
BENTI,G,FFFFF,4,0,124,0
BENTI,G,FFFFF,5,0,1441,0
