NOM,type_de_son,numero,F0,Fmax,duree
BENTI,AAAAA,1,152,618,
BENTI,AAAAA,2,127,778,
BENTI,AAAAA,3,146,147,
BENTI,AAAAA,4,146,146,
BENTI,AAAAA,5,127,127,
BENTI,EEEEE,1,144,286,
BENTI,EEEEE,2,144,287,
BENTI,EEEEE,3,148,294,
BENTI,EEEEE,4,146,292,
BENTI,EEEEE,5,153,300,
BENTI,IIIII,1,194,194,
BENTI,IIIII,2,195,195,
BENTI,IIIII,3,198,198,
BENTI,IIIII,4,198,198,
BENTI,IIIII,5,196,196,
BENTI,OOOOO,1,148,292,
BENTI,OOOOO,2,148,297,
BENTI,OOOOO,3,151,303,
BENTI,OOOOO,4,151,301,
BENTI,OOOOO,5,153,306,
BENTI,UUUUU,1,166,166,
BENTI,UUUUU,2,168,168,
BENTI,UUUUU,3,168,168,
BENTI,UUUUU,4,170,170,
BENTI,UUUUU,5,171,171,
BENTI,FFFFF,1,0,178,
BENTI,FFFFF,2,0,1454,
BENTI,FFFFF,3,0,2075,
BENTI,FFFFF,4,0,124,
BENTI,FFFFF,5,0,1441,
