NOM,F_G_X,type_de_son,numero,F0,Fmax,Fmax2
LEMAIRE,F,AAAAA,1,189,187,756
LEMAIRE,F,AAAAA,2,169,169,676
LEMAIRE,F,AAAAA,3,171,171,684
LEMAIRE,F,AAAAA,4,185,185,740
LEMAIRE,F,AAAAA,5,191,191,764
LEMAIRE,F,EEEEE,1,189,379,189
LEMAIRE,F,EEEEE,2,172,172,344
LEMAIRE,F,EEEEE,3,173,345,173
LEMAIRE,F,EEEEE,4,186,186,372
LEMAIRE,F,EEEEE,5,197,393,197
LEMAIRE,F,IIIII,1,185,185,370
LEMAIRE,F,IIIII,2,173,173,346
LEMAIRE,F,IIIII,3,174,174,348
LEMAIRE,F,IIIII,4,190,190,380
LEMAIRE,F,IIIII,5,194,194,388
LEMAIRE,F,OOOOO,1,186,186,372
LEMAIRE,F,OOOOO,2,173,344,173
LEMAIRE,F,OOOOO,3,177,356,177
LEMAIRE,F,OOOOO,4,193,193,386
LEMAIRE,F,OOOOO,5,192,192,384
LEMAIRE,F,UUUUU,1,188,188,376
LEMAIRE,F,UUUUU,2,175,175,350
LEMAIRE,F,UUUUU,3,189,189,378
LEMAIRE,F,UUUUU,4,192,192,384
LEMAIRE,F,UUUUU,5,192,192,384
LEMAIRE,F,FFFFF,1,0,1289,0
LEMAIRE,F,FFFFF,2,0,1205,0
LEMAIRE,F,FFFFF,3,0,1920,0
LEMAIRE,F,FFFFF,4,0,2002,0
LEMAIRE,F,FFFFF,5,0,1312,0
